,SalesOrderID,SalesReasonID,ModifiedDate
0,43697,5,2011-05-31
1,43697,9,2011-05-31
2,43702,5,2011-06-01
3,43702,9,2011-06-01
4,43703,5,2011-06-01
5,43703,9,2011-06-01
6,43706,5,2011-06-02
7,43706,9,2011-06-02
8,43707,5,2011-06-02
9,43707,9,2011-06-02
10,43709,5,2011-06-02
11,43709,9,2011-06-02
12,43710,5,2011-06-02
13,43710,9,2011-06-02
14,43711,5,2011-06-03
15,43711,9,2011-06-03
16,43712,5,2011-06-03
17,43712,9,2011-06-03
18,43713,5,2011-06-04
19,43713,9,2011-06-04
20,43714,5,2011-06-04
21,43714,9,2011-06-04
22,43715,5,2011-06-04
23,43715,9,2011-06-04
24,43716,5,2011-06-04
25,43716,9,2011-06-04
26,43718,5,2011-06-05
27,43718,9,2011-06-05
28,43719,5,2011-06-05
29,43719,9,2011-06-05
30,43720,5,2011-06-05
31,43720,9,2011-06-05
32,43721,5,2011-06-05
33,43721,9,2011-06-05
34,43722,5,2011-06-06
35,43722,9,2011-06-06
36,43724,5,2011-06-06
37,43724,9,2011-06-06
38,43725,5,2011-06-07
39,43725,9,2011-06-07
40,43727,5,2011-06-07
41,43727,9,2011-06-07
42,43728,5,2011-06-08
43,43728,9,2011-06-08
44,43731,5,2011-06-08
45,43731,9,2011-06-08
46,43733,5,2011-06-08
47,43733,9,2011-06-08
48,43734,5,2011-06-09
49,43734,9,2011-06-09
50,43735,5,2011-06-09
51,43735,9,2011-06-09
52,43737,5,2011-06-10
53,43737,9,2011-06-10
54,43738,5,2011-06-10
55,43738,9,2011-06-10
56,43739,5,2011-06-10
57,43739,9,2011-06-10
58,43740,5,2011-06-10
59,43740,9,2011-06-10
60,43741,5,2011-06-11
61,43741,9,2011-06-11
62,43742,5,2011-06-11
63,43742,9,2011-06-11
64,43744,5,2011-06-11
65,43744,9,2011-06-11
66,43745,5,2011-06-12
67,43745,9,2011-06-12
68,43746,5,2011-06-12
69,43746,9,2011-06-12
70,43747,5,2011-06-13
71,43747,9,2011-06-13
72,43748,5,2011-06-13
73,43748,9,2011-06-13
74,43749,5,2011-06-13
75,43749,9,2011-06-13
76,43750,5,2011-06-13
77,43750,9,2011-06-13
78,43751,5,2011-06-13
79,43751,9,2011-06-13
80,43752,5,2011-06-13
81,43752,9,2011-06-13
82,43753,5,2011-06-13
83,43753,9,2011-06-13
84,43754,5,2011-06-14
85,43754,9,2011-06-14
86,43755,5,2011-06-14
87,43755,9,2011-06-14
88,43758,5,2011-06-15
89,43758,9,2011-06-15
90,43759,5,2011-06-15
91,43759,9,2011-06-15
92,43760,5,2011-06-15
93,43760,9,2011-06-15
94,43761,5,2011-06-15
95,43761,9,2011-06-15
96,43762,5,2011-06-16
97,43762,9,2011-06-16
98,43763,5,2011-06-16
99,43763,9,2011-06-16
100,43764,5,2011-06-16
101,43764,9,2011-06-16
102,43766,5,2011-06-17
103,43766,9,2011-06-17
104,43768,5,2011-06-18
105,43768,9,2011-06-18
106,43769,5,2011-06-18
107,43769,9,2011-06-18
108,43770,5,2011-06-18
109,43770,9,2011-06-18
110,43772,5,2011-06-18
111,43772,9,2011-06-18
112,43773,5,2011-06-18
113,43773,9,2011-06-18
114,43774,5,2011-06-18
115,43774,9,2011-06-18
116,43776,5,2011-06-19
117,43776,9,2011-06-19
118,43777,5,2011-06-19
119,43777,9,2011-06-19
120,43780,5,2011-06-20
121,43780,9,2011-06-20
122,43781,5,2011-06-20
123,43781,9,2011-06-20
124,43782,5,2011-06-20
125,43782,9,2011-06-20
126,43783,5,2011-06-20
127,43783,9,2011-06-20
128,43784,5,2011-06-21
129,43784,9,2011-06-21
130,43785,5,2011-06-21
131,43785,9,2011-06-21
132,43786,5,2011-06-21
133,43786,9,2011-06-21
134,43791,5,2011-06-21
135,43791,9,2011-06-21
136,43792,5,2011-06-21
137,43792,9,2011-06-21
138,43795,5,2011-06-22
139,43795,9,2011-06-22
140,43797,5,2011-06-22
141,43797,9,2011-06-22
142,43798,5,2011-06-22
143,43798,9,2011-06-22
144,43799,5,2011-06-22
145,43799,9,2011-06-22
146,43800,5,2011-06-23
147,43800,9,2011-06-23
148,43801,5,2011-06-23
149,43801,9,2011-06-23
150,43802,5,2011-06-23
151,43802,9,2011-06-23
152,43803,5,2011-06-24
153,43803,9,2011-06-24
154,43804,5,2011-06-24
155,43804,9,2011-06-24
156,43806,5,2011-06-24
157,43806,9,2011-06-24
158,43807,5,2011-06-25
159,43807,9,2011-06-25
160,43808,5,2011-06-25
161,43808,9,2011-06-25
162,43809,5,2011-06-25
163,43809,9,2011-06-25
164,43812,5,2011-06-26
165,43812,9,2011-06-26
166,43815,5,2011-06-26
167,43815,9,2011-06-26
168,43816,5,2011-06-26
169,43816,9,2011-06-26
170,43817,5,2011-06-26
171,43817,9,2011-06-26
172,43818,5,2011-06-26
173,43818,9,2011-06-26
174,43820,5,2011-06-27
175,43820,9,2011-06-27
176,43821,5,2011-06-27
177,43821,9,2011-06-27
178,43822,5,2011-06-27
179,43822,9,2011-06-27
180,43825,5,2011-06-27
181,43825,9,2011-06-27
182,43828,5,2011-06-28
183,43828,9,2011-06-28
184,43829,5,2011-06-28
185,43829,9,2011-06-28
186,43830,5,2011-06-28
187,43830,9,2011-06-28
188,43832,5,2011-06-28
189,43832,9,2011-06-28
190,43833,5,2011-06-29
191,43833,9,2011-06-29
